Index;Tweet_notrans;HS_notrans;Abusive_notrans;HS_Individual_notrans;HS_Group_notrans;HS_Religion_notrans;HS_Race_notrans;HS_Physical_notrans;HS_Gender_notrans;HS_Other_notrans;HS_Weak_notrans;HS_Moderate_notrans;HS_Strong_notrans;Tweet_Parsed_notrans;HS_predict_notrans;Abusive_predict_notrans;HS_Individual_predict_notrans;HS_Group_predict_notrans;HS_Religion_predict_notrans;HS_Race_predict_notrans;HS_Physical_predict_notrans;HS_Gender_predict_notrans;HS_Other_predict_notrans;HS_Weak_predict_notrans;HS_Moderate_predict_notrans;HS_Strong_predict_notrans;Language_notrans;Tweet_trans;HS_trans;Abusive_trans;HS_Individual_trans;HS_Group_trans;HS_Religion_trans;HS_Race_trans;HS_Physical_trans;HS_Gender_trans;HS_Other_trans;HS_Weak_trans;HS_Moderate_trans;HS_Strong_trans;Tweet_Parsed_trans;HS_predict_trans;Abusive_predict_trans;HS_Individual_predict_trans;HS_Group_predict_trans;HS_Religion_predict_trans;HS_Race_predict_trans;HS_Physical_predict_trans;HS_Gender_predict_trans;HS_Other_predict_trans;HS_Weak_predict_trans;HS_Moderate_predict_trans;HS_Strong_predict_trans;Language_trans
75;Ah sorry I didn't know that's what you meant. Being anti-DAP isn't racist, but Umno-Pas supporters' frequent reference to DAP as kafir and Cina babi leave no doubt about the reason for their dislike. MCA and MIC are accepted only as subservient component parties;0;1;0;0;0;0;0;0;0;0;0;0; maaf i did not know that apa you meant being anti dap is not racist but umno pas supporters frequent reference to dap as kafir and cina babi leave no doubt about the reason for their dislike muslim cyber army and mic are accepted only as subservient component parties;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;Ah sorry I didn't know that's what you meant. Being anti-DAP isn't racist, but Umno-Pas supporters' frequent reference to DAP as kafir and Cina babi leave no doubt about the reason for their dislike. MCA and MIC are accepted only as subservient component parties;0;1;0;0;0;0;0;0;0;0;0;0; maaf saya tidak tahu bahwa apa  anda maksud anti dap bukanlah rasis tetapi umno pas pendukung sering merujuk ke dap sebagai kafir dan cina babi tidak meninggalkan keraguan tentang alasan mereka tidak suka tentara cyber muslim dan mic diterima hanya sebagai pihak komponen  patuh;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
79;I'M LAUGHING TOO MUCH HAHAHAHAHAHAHAHA WHAT THE FUCK, BANGSAT HAHAHAHAHAHAHAHAHAHAHA  https://twitter.com/DEADORCOMA/status/1078682977905700864ÃÂÃÂ ÃÂ¢Ã¢ÂÂ¬ÃÂ¦,,,,;0;1;0;0;0;0;0;0;0;0;0;0;i sama laughing too much  apa the fuck bangsat  ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;I'M LAUGHING TOO MUCH HAHAHAHAHAHAHAHA WHAT THE FUCK, BANGSAT HAHAHAHAHAHAHAHAHAHAHA  https://twitter.com/DEADORCOMA/status/1078682977905700864ÃÂÃÂ ÃÂ¢Ã¢ÂÂ¬ÃÂ¦,,,,;0;1;0;0;0;0;0;0;0;0;0;0;aku sama tertawa terlalu banyak  apa apaan bangsat ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
80;i understand your point of view. thank you for clarifying.;0;0;0;0;0;0;0;0;0;0;0;0;i understand your point of view terima kasih you for clarifying ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;i understand your point of view. thank you for clarifying.;0;0;0;0;0;0;0;0;0;0;0;0;saya mengerti sudut pandang anda terima kasih atas klarifikasi;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
113;Everyone has their rights to be berengsek;0;1;0;0;0;0;0;0;0;0;0;0;everyone has their rights to be berengsek;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;Everyone has their rights to be berengsek;0;1;0;0;0;0;0;0;0;0;0;0;setiap orang memiliki hak untuk berengsek;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
121;Thats not common bullshit, that is pure shit... RT  USER: DPR #commonbullshit;1;1;0;1;0;0;0;0;1;0;1;0;itu not common bullshit that is pure shit rt user dewan perwakilan rakyat common bullshit;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;en;Thats not common bullshit, that is pure shit... RT  USER: DPR #commonbullshit;1;1;0;1;0;0;0;0;1;0;1;0;itu bukan omong kosong biasa yaitu omong kosong murni pengguna dewan perwakilan rakyat omong kosong biasa;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;en
129; USER after urinating I wipe my private with tissue then pour water then wipe with tissue again.I repeat this 2 times and after coming outI saw bits of tissue paper on privatepart.I smelt them and they smelled fine, is it pure, coz it can be from clean or najis wipes;0;0;0;0;0;0;0;0;0;0;0;0; user after urinating i wipe my private dengan tissue then pour water then wipe dengan tissue again i repeat this times and after coming outi saw bits of tissue paper on privatepart i smelt them and they smelled fine is it pure because it can be from clean orang najis wipes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en; USER after urinating I wipe my private with tissue then pour water then wipe with tissue again.I repeat this 2 times and after coming outI saw bits of tissue paper on privatepart.I smelt them and they smelled fine, is it pure, coz it can be from clean or najis wipes;0;0;0;0;0;0;0;0;0;0;0;0;pengguna setelah buang air kecil saya bersihkan pribadi saya dengan tisu lalu tuangkan air kemudian bersihkan dengan tisu lagi saya ulangi ini kali dan setelah keluar melihat potongan potongan kertas tisu di privatepart saya mencium mereka dan mereka berbau baik baik saja itu murni karena bisa dari orangutan tisu najis;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
147;I'm from small village and I know how hard to be kampungan in people eyes and learned from it;0;1;0;0;0;0;0;0;0;0;0;0;i sama from small village and i know how hard to be kampungan in people eyes and learned from it;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;I'm from small village and I know how hard to be kampungan in people eyes and learned from it;0;1;0;0;0;0;0;0;0;0;0;0;saya sama dari desa kecil dan saya tahu betapa sulitnya menjadi kampungan di mata orang dan belajar darinya;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
161;Oh my god I relate to that third panel so much !!! I was stressing so hard on confessing to my crush worrying about if things will get awkward but after I confessed we talked for like the longest I think we've talked and we're still friends Ã°ÂÂÂ even if he reciprocate.;0;0;0;0;0;0;0;0;0;0;0;0; my god i relate to that third panel so much i was stressing so hard on confessing to my crush worrying about if berpikir will get awkward but after i confessed we talked for like the longest i think we ve talked and we are still friends even if he reciprocate ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;Oh my god I relate to that third panel so much !!! I was stressing so hard on confessing to my crush worrying about if things will get awkward but after I confessed we talked for like the longest I think we've talked and we're still friends Ã°ÂÂÂ even if he reciprocate.;0;0;0;0;0;0;0;0;0;0;0;0; tuhan saya saya berhubungan dengan panel ketiga begitu banyak saya sangat menekankan pada mengaku naksir saya khawatir jika berpikir akan menjadi canggung tapi setelah saya mengaku kami berbicara seperti  terpanjang saya pikir kami sudah bicara dan kami masih berteman bahkan jika dia membalas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
169;"What! Are you kidding me!? This is The WORST SEA GAMES EVER!
.
#stopseagames2017 #shameonyoumalaysia";0;0;0;0;0;0;0;0;0;0;0;0;apa are you kidding me this is the worst sea games ever stop sea games shame on you malaysia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;"What! Are you kidding me!? This is The WORST SEA GAMES EVER!
.
#stopseagames2017 #shameonyoumalaysia";0;0;0;0;0;0;0;0;0;0;0;0;apa  anda bercanda saya ini adalah game laut terburuk  pernah menghentikan game laut memalukan anda malaysia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
179;Came a long way from Amira gassing her to start walking lmao https://twitter.com/SunnyBanks_/status/1223283139654692866ÃÂ Ã¢ÂÂ¦;0;0;0;0;0;0;0;0;0;0;0;0;came a long way from amira gassing her to start walking laughing my ass off ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;Came a long way from Amira gassing her to start walking lmao https://twitter.com/SunnyBanks_/status/1223283139654692866ÃÂ Ã¢ÂÂ¦;0;0;0;0;0;0;0;0;0;0;0;0;datang jauh jauh dari amira dengan gasnya untuk mulai berjalan sambil tertawa terbahak bahak;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
189;The Economist Intelligence Unit's recently released annual democracy index shows Indonesia's democracy has yet to climb out of its funk, even as neighboring Malaysia experiences a democratic resurgence  https://www.thejakartapost.com/seasia/2020/01/22/2019-eiu-democracy-index-shows-indonesia-falling-further-behind-malaysia.htmlÃÂ Ã¢ÂÂ¦;0;0;0;0;0;0;0;0;0;0;0;0;the economist intelligence unit recently released annual democracy indeks shows indonesia democracy has yet to climb out of it is funk even as neighboring malaysia experiences a democratic resurgence ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;The Economist Intelligence Unit's recently released annual democracy index shows Indonesia's democracy has yet to climb out of its funk, even as neighboring Malaysia experiences a democratic resurgence  https://www.thejakartapost.com/seasia/2020/01/22/2019-eiu-democracy-index-shows-indonesia-falling-further-behind-malaysia.htmlÃÂ Ã¢ÂÂ¦;0;0;0;0;0;0;0;0;0;0;0;0;unit intelijen ekonomi  baru baru ini merilis indeks demokrasi tahunan menunjukkan demokrasi indonesia belum keluar darinya funk bahkan ketika negara tetangga malaysia mengalami kebangkitan demokrasi;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
190;Shit i forgot a fucking concept about berlebihan anjing;0;1;0;0;0;0;0;0;0;0;0;0;shit i forgot a fuck concept about berlebihan anjing;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;Shit i forgot a fucking concept about berlebihan anjing;0;1;0;0;0;0;0;0;0;0;0;0;sial aku lupa konsep bercinta tentang anjing berlebihan;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
197;london is blue, red is cabecabean;0;0;0;0;0;0;0;0;0;0;0;0;london is blue red is cabe cabean;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;london is blue, red is cabecabean;0;0;0;0;0;0;0;0;0;0;0;0;london merah biru adalah cabe cabean;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
202;"SBY, What are you gonna say next? SBY: ""Oh i never delete the TTWW #ShameOnYouSBY"" Hahaha.. So Bullshit #ShamedByYou pic.twitter.com/fvLdfT6uN7";1;1;1;0;0;0;0;0;1;1;0;0;susilo bambang yudhoyono apa are you going to say next susilo bambang yudhoyono  i never delete the ttww shame on you susilo bambang yudhoyono  so bullshit shamed by you ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;en;"SBY, What are you gonna say next? SBY: ""Oh i never delete the TTWW #ShameOnYouSBY"" Hahaha.. So Bullshit #ShamedByYou pic.twitter.com/fvLdfT6uN7";1;1;1;0;0;0;0;0;1;1;0;0;susilo bambang yudhoyono apa  akan anda katakan susilo bambang yudhoyono selanjutnya  saya tidak pernah menghapus ttww rasa malu pada anda susilo bambang yudhoyono  jadi omong kosong  dipermalukan oleh anda;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;en
203;"On last December, the Embassy sponsored Tyson Juma, a Kenyan Student to attend Bali Democracy Students Conference (BDSC). Read Tyson's Story about the conference and Indonesia in this article!
 https://kemlu.go.id/nairobi/en/news/4440/tyson-juma-terasa-seperti-di-rumah-selama-di-indonesiaÃÂ Ã¢ÂÂ¦  USER  USER #indonesianway #IndonesiaUntukDunia";0;0;0;0;0;0;0;0;0;0;0;0;on last december the embassy sponsored tyson juma a kenyan student to attend bali democracy students conference bdsc read tyson cerita about the conference and indonesia in this article user user indonesia way indonesia untuk dunia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;"On last December, the Embassy sponsored Tyson Juma, a Kenyan Student to attend Bali Democracy Students Conference (BDSC). Read Tyson's Story about the conference and Indonesia in this article!
 https://kemlu.go.id/nairobi/en/news/4440/tyson-juma-terasa-seperti-di-rumah-selama-di-indonesiaÃÂ Ã¢ÂÂ¦  USER  USER #indonesianway #IndonesiaUntukDunia";0;0;0;0;0;0;0;0;0;0;0;0;pada bulan desember lalu kedutaan mensponsori tyson juma seorang siswa kenyan untuk menghadiri konferensi mahasiswa demokrasi bali bdsc membaca tyson cerita tentang konferensi dan indonesia dalam artikel ini pengguna pengguna indonesia cara indonesia untuk dunia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
206;"BHAHAHAKK!! i want to use another word ""toket"" which sounds more polite but no i will use tetek and send";0;1;0;0;0;0;0;0;0;0;0;0; i want to use another word toket which sounds more polite but no i will use tetek and send;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;"BHAHAHAKK!! i want to use another word ""toket"" which sounds more polite but no i will use tetek and send";0;1;0;0;0;0;0;0;0;0;0;0; saya ingin menggunakan toket kata lain  terdengar lebih sopan tetapi tidak saya akan menggunakan tetek dan mengirim;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
218;"Here's the proof...
#ShameOnYouMalaysia #Ã Â¸ÂÃ Â¸ÂµÃ Â¹ÂÃ Â¸ÂÃ Â¸Â¡Ã Â¸ÂªÃ Â¹Â2017 #SEAGames2017 pic.twitter.com/Kd3hM8SWjo";0;0;0;0;0;0;0;0;0;0;0;0;here the proof shame on you malaysia sea games ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;"Here's the proof...
#ShameOnYouMalaysia #Ã Â¸ÂÃ Â¸ÂµÃ Â¹ÂÃ Â¸ÂÃ Â¸Â¡Ã Â¸ÂªÃ Â¹Â2017 #SEAGames2017 pic.twitter.com/Kd3hM8SWjo";0;0;0;0;0;0;0;0;0;0;0;0;di sini buktinya memalukan bagi anda malaysia sea games ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
225;"We stop being proud of our culture when we start saying ""kampungan""";0;1;0;0;0;0;0;0;0;0;0;0;we stop being proud of our culture when we start saying kampungan;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;"We stop being proud of our culture when we start saying ""kampungan""";0;1;0;0;0;0;0;0;0;0;0;0;kami berhenti bangga dengan budaya kami ketika kami mulai mengatakan kampungan;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
242;"Nick Tsagaris-Prabowo Subianto's Loss in Indonesia's Election Sparks Deadly Protests in Jakarta
Check the news here-  https://bit.ly/2VG8rBlÃÂ 
#NickTsagaris #australia #indonesiaelection #protest #jakarta #latestnews #abcnews #sydney #latestnews";0;0;0;0;0;0;0;0;0;0;0;0;nick tsagaris prabowo subianto loss in indonesia election sparks deadly protests in jakarta check the news here nicktsagaris australia indonesia election protest jakarta latest news abc news sydney latest news;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;"Nick Tsagaris-Prabowo Subianto's Loss in Indonesia's Election Sparks Deadly Protests in Jakarta
Check the news here-  https://bit.ly/2VG8rBlÃÂ 
#NickTsagaris #australia #indonesiaelection #protest #jakarta #latestnews #abcnews #sydney #latestnews";0;0;0;0;0;0;0;0;0;0;0;0;nick tsagaris prabowo subianto  kalah dalam pemilihan di indonesia memicu protes mematikan di jakarta periksa beritanya di sini nicktsagaris australia protes pemilihan di indonesia jakarta berita terbaru abc news sydney berita terbaru;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
243;USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER RBA dpt latihan kubus;0;0;0;0;0;0;0;0;0;0;0;0;user user user user user user user user user user user user user user user user user user riba dapat latihan kubus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER RBA dpt latihan kubus;0;0;0;0;0;0;0;0;0;0;0;0;pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna riba dapat latihan kubus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
250;BANGSAT LO BENER BGT ANJING TAPI SORRY I PREFER HE TIAN MORE I CANT TAKE MY EYES OFF HIS SMALL WAIST BUT WELL TRAINED UPPER BODY FUCK IM IN LOVE WITH THEIR BODY PROPORTIONS,,,,;0;1;0;0;0;0;0;0;0;0;0;0;bangsat kamu benar banget anjing tapi maaf i prefer he tian more i cant take my eyes off his small waist but well trained upper body fuck i am in love dengan their body proportions ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;BANGSAT LO BENER BGT ANJING TAPI SORRY I PREFER HE TIAN MORE I CANT TAKE MY EYES OFF HIS SMALL WAIST BUT WELL TRAINED UPPER BODY FUCK IM IN LOVE WITH THEIR BODY PROPORTIONS,,,,;0;1;0;0;0;0;0;0;0;0;0;0;bangsat kamu benar benar banget anjing tapi maaf saya lebih suka dia tian lebih saya tidak bisa mengalihkan pandangan dari pinggangnya  kecil tapi tubuh bagian atas  terlatih saya bercinta dengan proporsi tubuh mereka;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
255;"""Some memory from the recent election."" ...... Do you know that considering all the stage in #indonesiaelection had been fulfilled and soon the winner will be announce I think its the right time to post someÃ¢ÂÂ¦  https://www.instagram.com/p/BzRuh8mn9Md/?igshid=og5eba0o61xuÃÂ Ã¢ÂÂ¦";0;0;0;0;0;0;0;0;0;0;0;0;some memori from the recent election do you know that considering all the stage in indonesia election had been fulfilled and soon the winner will be announce i think it is the right time to post some ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en;"""Some memory from the recent election."" ...... Do you know that considering all the stage in #indonesiaelection had been fulfilled and soon the winner will be announce I think its the right time to post someÃ¢ÂÂ¦  https://www.instagram.com/p/BzRuh8mn9Md/?igshid=og5eba0o61xuÃÂ Ã¢ÂÂ¦";0;0;0;0;0;0;0;0;0;0;0;0;beberapa memori dari pemilu baru baru ini apakah anda tahu bahwa mengingat semua tahap dalam pemilu indonesia telah terpenuhi dan segera pemenang akan diumumkan saya pikir ini adalah waktu  tepat untuk memposting beberapa;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;en
