Index;Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed;HS_predict;Abusive_predict;HS_Individual_predict;HS_Group_predict;HS_Religion_predict;HS_Race_predict;HS_Physical_predict;HS_Gender_predict;HS_Other_predict;HS_Weak_predict;HS_Moderate_predict;HS_Strong_predict;OOV
307;Malaysia is the worst SEA Games host ever!! #ShameOnYouMalaysia #SeaGames2017 #Ã Â¸ÂÃ Â¸ÂµÃ Â¹ÂÃ Â¸ÂÃ Â¸Â¡Ã Â¸ÂªÃ Â¹Â2017 pic.twitter.com/hMMHRIciC3;1;0;0;1;0;0;0;0;1;0;1;0;malaysia is the worst sea games host ever shame on you malaysia sea games ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
324;USER USER Jaman SBY yg demo PDIP;1;0;0;1;0;0;0;0;1;0;1;0;user user zaman susilo bambang yudhoyono  demo partai demokrasi indonesia perjuangan;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
333;USER Pokonya kita bales tu partai silit item';1;1;0;1;0;0;0;0;1;0;1;0;user pokoknya kita balas itu partai silit hitam ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
334;USER pak USER kalo anak buah anda USER mulutnya kayak gini jngan harap rakyat percaya sama USER 2019;1;0;1;0;0;0;0;0;1;1;0;0;user pak user kalau anak buah kamu user mulutnya kayak begini jangan harap rakyat percaya sama user ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
348;Ganti kapolri, Harus ganti presiden, LENGSERKAN jokowi menjadi harga mati;1;0;1;0;0;0;0;0;1;0;0;1;ganti kepala kepolisian negara republik indonesia harus ganti presiden lengserkan jokowi menjadi harga mati;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
402;USER cocot comberan tai';1;1;0;1;0;0;0;0;1;0;1;0;user cocot comberan tai ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
441;GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA USER';1;1;1;0;1;0;1;0;0;1;0;0;tidak pernah mendalami al alquran  bang pantas saja mulutnya kaya orang kafir bejat hina user ;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;
444;RT USER Pribumi harus tolak etnis cina jadi pemimpin di indonesia jgn di adu dgn pancasila atau bhineka..;1;0;0;1;0;1;0;0;0;0;0;1;rt user pribumi harus tolak etnis cina jadi pemimpin di indonesia jangan di adu dengan pancasila atau bhineka ;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;
457;ANJING TAIK, FUCK YOU YOUTUBE BANGSAT,,,,;0;1;0;0;0;0;0;0;0;0;0;0;anjing tai fuck you youtube bangsat ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
459;RT USER Juga jago bakar isu PKI Komunis;1;0;1;0;0;1;0;0;0;1;0;0;rt user juga jago bakar isu partai komunis indonesia komunis;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;
478;USER Tangkap aja itu jendral banci kayak prabowo yg bodoh;1;1;1;0;0;0;0;1;0;0;0;1;user tangkap saja itu jenderal banci kayak prabowo  bodoh;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;
489;USER USER USER USER USER USER manis-manis idiot ni orang';1;1;1;0;0;0;1;0;0;1;0;0;user user user user user user manis manis idiot nih orang ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
514;USER Titit lah anies ni, jangan jadi wapres prabowo anjenk';1;1;1;0;0;0;0;1;0;1;0;0;user titit  anies nih jangan jadi wakil presiden prabowo anjing ;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
516;Mana la cina ni tahu tu kereta perempuan?\xf0\x9f\x98\x85';0;0;0;0;0;0;0;0;0;0;0;0;mana  cina nih tahu itu kereta perempuan ;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;
557;perempuan kaya lo mending mati aja deh, jelek aja, gausa sok jadi make up artist!;1;1;1;0;0;0;1;1;0;1;0;0;perempuan kaya kamu mending mati saja  jelek saja tidak usah sok jadi make up artist ;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;
565;"KARMA IS REAL BRO !! 
#GanyangMalaysia  https://twitter.com/SyedSaddiq/status/1199204705357848576ÃÂ Ã¢ÂÂ¦";1;0;0;1;0;0;0;0;1;0;1;0;karma is real bro ganyang malaysia ;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;
568;USER emang berani ... Indonesia kan bagian dari republik rakyat cina..;1;0;1;0;0;0;0;0;1;1;0;0;user memang berani indonesia  bagian dari republik rakyat cina ;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;
580;USER Kapan tuh si BEJAT CABUL USER balik ? Pengecut si Onta itu ye...';1;1;1;0;0;0;0;1;0;1;0;0;user kapan itu  bejat cabul user balik pengecut  unta itu iya ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
598;Omongan Ahok TERBUKTI LAGI! Anies Sandi INGKAR JANJI Soal Reklamasi: URL melalui USER;1;0;0;1;0;0;0;0;1;0;1;0;omongan ahok terbukti lagi anies sandi ingkar janji soal reklamasi url melalui user;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
603;Sementara itu USER kerjanya musuhi dakwah Islam & bubarkan HTI..! Rakyat jg berhak lengserkan jokowok tukang pencitraan!!;1;0;1;0;1;0;0;0;0;0;0;1;sementara itu user kerjanya memusuhi dakwah islam bubarkan hizbut tahrir indonesia rakyat juga berhak lengserkan jokowi kodok tukang pencitraan ;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
608;"No Reasons For Give Up, Let's Fighting The Regime Chebong Fir'aun Ã¢ÂÂ¡Ã°ÂÂÂÃ°ÂÂÂ
#2019GantiPresiden
#2019PrabowoSandi
#2019PrabowoPresiden
#GerakanNasionalKedaulatanRakyat
#SaveOurDemocracy https://twitter.com/zaidfalevi/status/1130307594793340930ÃÂ Ã¢ÂÂ¦";1;0;0;1;0;0;0;0;1;0;0;1;no reasons for give up let fighting the regime kecebong fir aun ganti presiden prabowo sandi prabowo presiden gerakan nasional kedaulatan rakyat save our democracy ;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;
632;You copy my style, you copy again (n) #MalaysiaMiskinBudaya;1;0;0;1;0;0;0;0;1;0;1;0;you copy my gaya you copy again dan malaysia miskin budaya;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
643;Golkar Ingatkan Bahaya Gerakan Kaos Ganti Presiden 2019 - Suara Nasional;0;0;0;0;0;0;0;0;0;0;0;0;golkar ingatkan bahaya gerakan kaos ganti presiden suara nasional;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
654;rt USER USER USER Tp kenapa jokowi tidak mau tes dna.?tes Dna lah yg bisa membuktikan nya bukan keturunan PKI;1;0;1;0;0;1;0;0;0;1;0;0;rt user user user tetapi kenapa jokowi tidak mau tes dna tes dna   bisa membuktikan  bukan keturunan partai komunis indonesia;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;
657;USER Jakarta diera Anies Sandi jg nambah pengangguran;1;0;0;1;0;0;0;0;1;0;1;0;user jakarta di era anies sandi juga menambah pengangguran;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
688;Kamu transgender atau gmn anjing :( URL;1;1;1;0;0;0;0;1;0;1;0;0;kamu transgender atau bagaimana anjing url;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
714;USER Bani?';0;0;0;0;0;0;0;0;0;0;0;0;user bani ;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;
721;USER Telor burung onta\n\ntdi nonton orang makan itu gede bgt gils';0;0;0;0;0;0;0;0;0;0;0;0;user telur burung unta tadi menonton orang makan itu besar banget gila ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
726;USER USER USER Biarin lbh bagus cungkring drpd gendut bisa autis\xf0\x9f\xa4\xa3\xf0\x9f\x98\x81\xe2\x9c\x8c\n#prabowo2periode';0;1;0;0;0;0;0;0;0;0;0;0;user user user biarkan lebih bagus cungkring daripada gendut bisa autis prabowo periode ;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
729;USER Bener juga lu bangke';0;1;0;0;0;0;0;0;0;0;0;0;user benar juga kamu bangkai ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
736;USER USER USER USER USER Model cramah nya kaya jiancok Silit Celeng Gus Guss';1;1;1;0;0;0;0;0;1;1;0;0;user user user user user model ceramah  kaya jancuk silit celeng gus gus ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
751;USER USER Etnis cina memang ada yg ikut berjuang tapi lebih sangat banyak yg jadi penghianat jd antek belanda..;1;0;0;1;0;1;0;0;0;0;1;0;user user etnis cina memang ada  ikut berjuang tapi lebih sangat banyak  jadi pengkhianat jadi antek belanda ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
756;"Dear Someone, You make me feel so special until you change and leave.
#PrabowoGila";0;0;0;0;0;0;0;0;0;0;0;0;dear someone you make me feel so spesial until you change and leave prabowo gila;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
772;You can get gold medal you needddd cuz you're the host, but you wont deserve for world class. Pls teach me how to cheat #ShameOnYouMalaysia;1;0;0;1;0;0;0;0;1;0;1;0;you can get gold medal you need because you are the host but you wont deserve for world class tolong teach me how to cheat shame on you malaysia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
779;Don't look at me as if you're tolol ngentot Ã°ÂÂÂ;1;1;1;0;0;0;0;0;1;1;0;0;do not look at me as if you are tolol ngentot ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
786;Dear HTI and FPI mind ur own business please.. Thx;0;0;0;0;0;0;0;0;0;0;0;0;dear hizbut tahrir indonesia and front pembela islam mind kamu own business please terima kasih;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;
788;USER USER USER usir rohingya dari indonesia, krn rohingya sudah menistakan gadis budha di myanmar.;1;0;0;1;0;1;0;0;0;0;0;1;user user user usir rohingya dari indonesia karena rohingya sudah menistakan gadis buddha di myanmar ;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;
797;USER Ini sudah termasuk teror , bukan aparat inimah tapi keparat politik.! Bahasanya Mafia politik, hati-hati bos kami tidak takut ancaman / intimidasi Demokrasi. #polri USER \n\nCat. \nUSER';1;1;0;1;0;0;0;0;1;0;1;0;user ini sudah termasuk teror bukan aparat ini  tapi keparat politik bahasanya mafia politik hati hati bos kami tidak takut ancaman intimidasi demokrasi kepolisian republik indonesia user cat user ;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;
813;#PDIPerjuanganMenang Mereka, kaum sipit mau menguasai tambang Indonesia, kalian ketawa saja. Dasar tidak punya nasionalisme Indonesia. Lebih baik tidak usah ikut Pemilu bagi kalian yang dukung 2 periode. Dan hasilnya Tambang Indonesia dikuasai sipit dan;1;1;0;1;0;1;0;0;0;0;1;0; partai demokrasi indonesia perjuangan menang mereka kaum sipit mau menguasai tambang indonesia kalian tertawa saja dasar tidak punya nasionalisme indonesia lebih baik tidak usah ikut pemilihan umum bagi kalian  dukung periode dan hasilnya tambang indonesia dikuasai sipit dan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
851;USER USER USER USER USER USER USER USER edan ..edan... \npokoknya #2019GantiPresiden \ndan usir china china keparat gak tau malu';1;1;0;1;0;1;0;0;0;0;1;0;user user user user user user user user gila gila pokoknya ganti presiden dan usir cina cina keparat tidak tau malu ;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;
853;Buat apa nyerang pemerintah Jokowi yg bentar lagi berhenti berkuasa?Lengserkan di pemilihan presiden mendatang.;1;0;1;0;0;0;0;0;1;0;0;1;buat apa menyerang pemerintah jokowi  bentar lagi berhenti berkuasa lengserkan di pemilihan presiden mendatang ;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
856;USER USER Ancem2an kaya banci aja jancok';1;1;1;0;0;0;0;1;0;1;0;0;user user ancam ancaman kaya banci saja jancuk ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
858;Hajar ndan.. ganyang PKI URL;1;0;0;1;0;1;0;0;0;0;1;0;hajar dan ganyang partai komunis indonesia url;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;
873;#jokowiMUNDUR  SAVE OUR INDONESIA !!!!!;0;0;0;0;0;0;0;0;0;0;0;0; jokowi mundur save our indonesia ;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
887;USER USER Cebong mana ngerti';1;1;1;0;0;0;0;0;1;1;0;0;user user kecebong mana mengerti ;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;
897;USER pantes bolot gini';1;1;1;0;0;0;1;0;0;1;0;0;user pantas bolot begini ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
898;Jk Negeri ingin selamat, cm 1 Syarat.. lengserkan jokowi !!! Jaga NKRI Selamatkan Negeri Ini !!! .USER USER;1;0;1;0;0;0;0;0;1;0;0;1;kalau negeri ingin selamat cuma syarat lengserkan jokowi jaga negara kesatuan republik indonesia selamatkan negeri ini user user;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
903;USER kunyuk Asia...antek asing;1;1;1;0;0;0;0;0;1;1;0;0;user kunyuk asia antek asing;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
917;USER Wah kesempatan neh langsung deh dimanfaatin buat pencitraaan oleh rezim..\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3';0;0;0;0;0;0;0;0;0;0;0;0;user  kesempatan nih langsung  dimanfaatkan buat pencitraan oleh rezim ;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
926;fuck you gabener dan wagabener beserta teman2 bangsat lo.. my middle finger salute you all ÃÂ°ÃÂ¸Ã¢ÂÂÃ¢ÂÂ¢,,,,;1;1;0;1;0;0;0;0;1;0;1;0;fuck you tidak benar dan  tidak benar beserta teman teman bangsat kamu my tengah finger salut you all ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
937;"Can't hold it back anymore..
#JokoWinElection #JokowiAminSudahMenang #PrabowoGila #savesandiagauno pic.twitter.com/C5K6kLI7Fx";0;1;0;0;0;0;0;0;0;0;0;0;can not hold it back anymore jokowi in election jokowi amin sudah menang prabowo gila save sandiaga uno ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
944;Bisa jadi Warga Negara di INDONESIA\nitu seharusnya ANDA\nBANGGA.\nini malah bilank Soekarno PKI. \xe2\x80\x94 benar-benar marah';0;0;0;0;0;0;0;0;0;0;0;0;bisa jadi warga negara di indonesia itu seharusnya kamu bangga ini malah bilang soekarno partai komunis indonesia benar benar marah ;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
951;USER USER Kunyuk emang die wkwk';0;1;0;0;0;0;0;0;0;0;0;0;user user kunyuk memang dia  ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
954;USER muka muka pecun nih';1;1;1;0;0;0;1;1;0;1;0;0;user muka muka pecun nih ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
962;HEH SINTING YA LU URL;1;1;1;0;0;0;1;0;0;1;0;0;he sinting  kamu url;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
991;USER USER USER Bawang putih itu sdg kafir haram lagi..\nHiks.hiks..hiks';1;1;1;0;0;0;0;0;1;1;0;0;user user user bawang putih itu sedang kafir haram lagi    ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
992;USER USER USER USER USER Kafir ada di Alquran....situ sehat???';0;0;0;0;0;0;0;0;0;0;0;0;user user user user user kafir ada di alquran kamu sehat ;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;
996;USER Indonesia 99% tetap ganti presiden kopanye nang ruhut #2019GantiPresiden #2019.;0;0;0;0;0;0;0;0;0;0;0;0;user indonesia tetap ganti presiden kampanye di ruhut ganti presiden ;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
1020;USER USER USER USER USER Yang saya maksud domba idiot itu bukan ibu, tapi akun ini \xf0\x9f\x91\x89 USER \xf0\x9f\x91\x88';1;1;1;0;0;0;1;0;0;1;0;0;user user user user user  saya maksud domba idiot itu bukan ibu tapi akun ini user ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1027;Jika istana sudah dikuasai komunis, rakyat harus bagaimana? lengserkan jokowi jokowi diktator Rakyat Bersama TNI URL;1;0;1;0;0;0;0;0;1;0;0;1;jika istana sudah dikuasai komunis rakyat harus bagaimana lengserkan jokowi jokowi diktator rakyat bersama tentara nasional indonesia url;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
1029;"USER USER USER ""Saya lebih mendengar kata-kata orang di TV daripada pengetahuan dasar ekonomi""";0;0;0;0;0;0;0;0;0;0;0;0;user user user saya lebih mendengar kata kata orang di televisi daripada pengetahuan dasar ekonomi;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
1035;USER USER Penistaan bencong';0;0;0;0;0;0;0;0;0;0;0;0;user user penistaan bencong ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1049;USER Pak USER walau Anda Muslim jangan lihat posting ini sbgi kebencian, ditulis demi kemajuan bangsa;0;0;0;0;0;0;0;0;0;0;0;0;user pak user walau kamu muslim jangan lihat posting ini sebagai kebencian ditulis demi kemajuan bangsa;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;
1057;USER USER USER Kunyuk kalau DPR bubarkan KPK;1;1;0;1;0;0;0;0;1;0;0;1;user user user kunyuk kalau dewan perwakilan rakyat bubarkan komisi pemberantasan korupsi;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;
1162;USER Pak USER walau Anda Muslim, sbgai MenAgama, Anda wajib jujur, jelaskan isi Alquran yg sebenarnya;0;0;0;0;0;0;0;0;0;0;0;0;user pak user walau kamu muslim sebagai menteri agama kamu wajib jujur jelaskan isi alquran  sebenarnya;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;
1181;USER USER Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus';1;1;1;0;0;0;0;0;1;1;0;0;user user itu  sudah nenek nenek aku heran sama kecebong biasanya bohong terus ;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;
1190;USER USER Kafir kristen selalu buat ulah;1;1;0;1;1;0;0;0;0;0;1;0;user user kafir kristen selalu buat ulah;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1231;USER USER Komunis anjing wkwkw';1;1;1;0;0;1;0;0;0;1;0;0;user user komunis anjing  ;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;
1238;RT USER: Tonton dong yang ini USER USER USER meskipun di Hina, Di intimidasi. USER tetep dateng ke bandung\xe2\x80\xa6';0;0;0;0;0;0;0;0;0;0;0;0;rt user tonton   ini user user user meskipun di hina di intimidasi user tetap datang ke bandung ;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
1247;USER Kamu bau bangke tikus!!! \xf0\x9f\x98\xa3';0;1;0;0;0;0;0;0;0;0;0;0;user kamu bau bangkai tikus ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
1264;USER Indosat celeng dancok, bikin bintang gua turun babi bajingan';1;1;0;1;0;0;0;0;1;0;1;0;user indosat celeng jancuk buat bintang aku turun babi bajingan ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1287;"You'll never walk alone
 USER  USER
#PrabowoSandi #2019GantiPresiden
#2019GaadaUN pic.twitter.com/2766nvsoAg";0;0;0;0;0;0;0;0;0;0;0;0;you ll never walk alone user user prabowo sandi ganti presiden tidak ada ujian nasional ;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
1306;USER Ayo ngaku agama mu apa? Kristen? Protestan? Athies? Budha? Hindu? Ngaku dong, malu ya ama agama lo sendiri?';1;0;1;0;1;0;0;0;0;1;0;0;user ayo mengakui agama mu apa kristen protestan ateis buddha hindu mengakui  malu  sama agama kamu sendiri ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1312;RT USER USER Prabowo simulut busuk Rizieq anies Fadlizon Fahri mereka kumpulan sampah negara jd kelakuan mereka juga kaya sampah;1;1;1;0;0;0;0;0;1;1;0;0;rt user user prabowo si mulut busuk rizieq anies fadli zon fahri mereka kumpulan sampah negara jadi kelakuan mereka juga kaya sampah;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;
